Titles	department
Ryu, Dongsu(류동수)	School of Natural Science(자연과학부)
Ryu, Ja-Hyoung(유자형)	School of Natural Science(자연과학부)
Schultz, Thomas(SchultzThomas)	School of Natural Science(자연과학부)
Shin, Hyeon Suk(신현석)	School of Natural Science(자연과학부)
Sun, Hae-sang(선해상)	School of Natural Science(자연과학부)
Tlusty, Tsvi(TlustyTsvi)	School of Natural Science(자연과학부)
Cha, Dong-Hyun(차동현)	School of Urban and Environmental Engineering(도시환경공학부)
Cho, Gi-Hyoug(조기혁)	School of Urban and Environmental Engineering(도시환경공학부)
Choi, Sung-Deuk(최성득)	School of Urban and Environmental Engineering(도시환경공학부)
Cho, Jaeweon(조재원)	School of Urban and Environmental Engineering(도시환경공학부)
Cho, Kyung Hwa(조경화)	School of Urban and Environmental Engineering(도시환경공학부)
Chung, Jibum(정지범)	School of Urban and Environmental Engineering(도시환경공학부)
Im, Jungho(임정호)	School of Urban and Environmental Engineering(도시환경공학부)
Jun, Yubin(전유빈)	School of Urban and Environmental Engineering(도시환경공학부)
Kang, Sarah M.(강사라)	School of Urban and Environmental Engineering(도시환경공학부)
Kim, Byungmin(김병민)	School of Urban and Environmental Engineering(도시환경공학부)
Kim, Jaai(김자애)	School of Urban and Environmental Engineering(도시환경공학부)
Kim, Jeongseob(김정섭)	School of Urban and Environmental Engineering(도시환경공학부)
Kwon, Young-Nam(권영남)	School of Urban and Environmental Engineering(도시환경공학부)
Lee, Changsoo(이창수)	School of Urban and Environmental Engineering(도시환경공학부)
Lee, Myong-In(이명인)	School of Urban and Environmental Engineering(도시환경공학부)
Lee, Young-Joo(이영주)	School of Urban and Environmental Engineering(도시환경공학부)
Oh, Jae Eun(오재은)	School of Urban and Environmental Engineering(도시환경공학부)
Seo, Yongwon(서용원)	School of Urban and Environmental Engineering(도시환경공학부)
Shin, Myoungsu(신명수)	School of Urban and Environmental Engineering(도시환경공학부)
Sim, Sung-Han(심성한)	School of Urban and Environmental Engineering(도시환경공학부)
Song, Chang-Keun(송창근)	School of Urban and Environmental Engineering(도시환경공학부)
Torbol, Marco(TorbolMarco)	School of Urban and Environmental Engineering(도시환경공학부)
